symbol;value
TTC27;659
ZNF582;74
VSIG2;79
PHLDB1;4272
MARCO;197
CYP24A1;0
PRDM11;480
SYT13;3220
SNAI2;412
CD74;165210
HGF;375
ZRANB1;1349
NCDN;1060
ADGRA2;4085
CCT8L1P;1
ZFP64;530
MNAT1;140
SAMD4A;1190
RUNX3;903
MRE11;801
PLEKHB1;339
SERPINB1;3350
CYP3A43;5
SLC7A9;279
SPAST;571
NRXN3;544
OSBPL5;945
AQR;1451
CPS1;20
C8B;2
FHL1;15699
RTF2;3029
GABRA1;2
NLRP2;58
SLC45A4;1804
RNF10;6470
ZNF839;378
ZDHHC6;1488
GRAMD1B;1317
RNH1;4152
NDUFS1;2391
RB1CC1;1528
ERP44;1573
ALAS1;957
BIRC3;4445
AKAP11;1957
GLRX2;916
SNAPC1;216
DERA;3336
STRAP;3160
ABCC2;1523
DEF6;817
PLEKHO1;2417
GCLM;794
UBR2;1810
EHD2;11522
DEPDC1;62
CCDC28A;977
RRAGD;834
HSF2;376
PHF20;1516
HSD17B6;49
NR1H3;1242
TYMP;2838
NCAPH2;1343
TOMM34;1242
SEC63;3246
KPNA6;2085
VIM;106160
RTEL1-TNFRSF6B;151
FAS;1255
RNASET2;10955
CD44;4378
KCNG1;4
AGPAT4;441
SLAMF7;674
BTN3A1;2689
MIPEP;654
PRKCH;1425
INSRR;5
IFNGR1;4055
B4GALT7;1725
SH2D2A;171
VRK2;701
TNFRSF1B;2967
VEZT;2220
POU2F2;611
BRD9;1222
SNX1;3960
TBPL1;323
ARNTL2;329
BCLAF1;3000
SLC39A9;2881
ANK1;435
IBSP;163
TFB1M;250
RABEP1;1796
HMGB3;261
NUP160;1473
BAK1;614
MUSK;4
IKZF2;319
GRN;11000
FAM13B;1523
ARHGAP31;2109
CENPQ;108
SARS1;4371
RANBP3;1724
ARID4A;689
EIPR1;688
PNPLA6;1803
IFT88;759
ALG1;1224
ZCCHC8;1414
ABCF2;454
CHPF2;2531
LRRC7;148
FUT8;721
UBA6;1248
GAB2;1050
ATP6V0A1;2666
PIAS1;1855
SLC4A7;1428
APBA2;93
MAP2K3;1780
EFCAB1;5
TMSB10;56542
ASTE1;500
RNF19A;2686
PEX3;411
GABARAPL2;2458
MYOC;87
SH3YL1;1560
FAM136A;1140
VCL;5388
DEPDC1B;58
DAPK2;522
NSMAF;1209
ADSS2;807
STAP1;9
TIMP2;9517
RFC1;1622
TBC1D23;1243
CUL3;1774
MYOM2;212
OTC;0
CYP46A1;115
ZZZ3;1050
SLC18A1;5
USP2;131
CASR;7
TUBG2;782
RPL26L1;659
FLT4;2612
NSUN2;1490
FBXO42;1136
MFAP3;1007
MRI1;1107
METTL1;725
HOXC8;173
AGA;793
PI4K2B;575
BOD1L1;1766
MAT2B;4016
TLL1;376
EDC4;840
TRIO;2528
VCAN;32515
CLEC16A;899
MSR1;2396
CDH1;3370
MTREX;3386
DNAH5;279
ZFYVE16;1626
RIPOR1;5123
C6;69
RAI14;2048
SOX30;9
PNKP;1652
BEST2;4
PHLPP2;369
SPDL1;287
STAU2;1060
SLC66A1;440
CTNS;1368
RTN4R;91
PHF23;997
CDH10;1
INPP4A;1055
RAB27B;85
PSMA4;2768
MYO16;4
LSG1;1067
PARP3;542
TNC;1927
THAP3;1719
RIPOR3;2612
TDP1;409
AIFM2;779
C2orf83;0
SPATA7;380
MED17;233
RETSAT;2164
CAPG;5142
AP2S1;2015
USH2A;21
ZPBP;1
TG;30
ADAM28;1608
BARX2;1522
DCUN1D1;1060
JADE2;2718
ZIC2;1
LCP2;2394
TRIT1;572
ADRB1;9
GUCA2B;1
CUL7;1691
CTNNA1;15460
PHKA2;4338
CNTLN;313
EPHA3;549
HSPA5;17344
DSG2;3004
GEMIN8;633
OFD1;1295
GPM6B;89
MAGEC2;0
PREX2;5804
WDR37;1311
YTHDC2;1936
CTPS2;491
ATP6V1H;1192
POLR2B;8726
FAM214A;1363
ARAP2;684
TPR;3193
CP;38427
KATNIP;753
DTNBP1;1016
XK;19
ANO2;109
C12orf4;666
SCML1;422
WWC3;2577
ARHGAP6;507
FAM184B;527
MAP4;6997
GOPC;1216
ROS1;3
USP28;584
HDAC9;360
TSPAN17;1824
NOP16;2102
CC2D2A;584
RRM2B;2325
ZNF800;967
TNFRSF17;22
SNX29;1578
LMO3;10
MRPS10;1093
GUCA1A;0
RSF1;1362
VPS13D;1877
CELF2;1267
FAM120A;4505
R3HDM1;746
COL9A2;91
KITLG;849
ERCC8;321
ADAMTS6;27
H6PD;5848
VAMP3;3675
PER3;1048
UTS2;245
TNFRSF9;375
EPN3;7
LTBP1;4251
RCN1;3803
ELN;1317
RFC2;1159
ARID1B;2298
CLPTM1L;6808
NEDD4L;1806
FOXP3;122
PPP1R3F;137
HEXB;3469
PTCD2;327
NEXMIF;6
JKAMP;1109
3,00 DKK;6331
ARHGEF5;359
NFE2L3;2505
MCUR1;1186
LIMA1;3162
LETMD1;2314
SLC4A8;124
LAMC3;22
PTGER3;161
TNIP3;27
MAPK9;2047
COL23A1;7674
BCAR1;2298
FAM160A2;1268
HERPUD1;6755
HOMER3;492
RAD51;77
POLQ;55
PIK3CB;1991
CYBA;5370
THOC3;223
HEBP2;1750
MPHOSPH9;665
PLEKHA5;3053
PRSS8;947
SIKE1;1122
RRP12;899
FNIP2;1983
MSMO1;1226
TTC17;2850
ALX4;1
FSTL4;7
FOXN3;2195
METTL24;40
AKR7A2;1234
MRTO4;1168
NNAT;26
USE1;691
MCF2L2;814
