symbol;value
SERPINB1;4
CYP3A43;0
SLC7A9;0
SPAST;10
NRXN3;8
OSBPL5;0
AQR;2
CPS1;2
C8B;0
FHL1;10
RTF2;5
GABRA1;0
NLRP2;0
SLC45A4;4
RNF10;2
ZNF839;54
ZDHHC6;139
GRAMD1B;0
RNH1;24
NDUFS1;5
RB1CC1;1
ERP44;44
ALAS1;1
BIRC3;19
AKAP11;5
GLRX2;317
SNAPC1;2
DERA;0
STRAP;0
ABCC2;0
DEF6;0
PLEKHO1;0
GCLM;4
UBR2;5
EHD2;0
DEPDC1;2
CCDC28A;0
RRAGD;4
HSF2;8
PHF20;10
HSD17B6;21
NR1H3;102
TYMP;35
NCAPH2;199
TOMM34;4
SEC63;5
KPNA6;9
VIM;65
RTEL1-TNFRSF6B;11
FAS;48
RNASET2;7
CD44;1
KCNG1;0
AGPAT4;7
SLAMF7;0
BTN3A1;6
MIPEP;0
PRKCH;11
INSRR;2
IFNGR1;3
B4GALT7;2
SH2D2A;3
VRK2;120
TNFRSF1B;1
VEZT;1
POU2F2;1
BRD9;18
SNX1;1
TBPL1;1
ARNTL2;2
BCLAF1;8
SLC39A9;247
ANK1;0
IBSP;4
TFB1M;9
RABEP1;210
HMGB3;0
NUP160;1
BAK1;0
MUSK;2
IKZF2;1
GRN;1
FAM13B;11
ARHGAP31;15
CENPQ;0
SARS1;8
RANBP3;1
ARID4A;7
EIPR1;0
PNPLA6;3
IFT88;1
ALG1;93
ZCCHC8;5
ABCF2;0
CHPF2;2
LRRC7;31
FUT8;16
UBA6;0
GAB2;9
ATP6V0A1;2
PIAS1;306
SLC4A7;1
APBA2;0
MAP2K3;1
EFCAB1;4
TMSB10;50
ASTE1;89
RNF19A;5
PEX3;1
GABARAPL2;5
MYOC;307
SH3YL1;11
FAM136A;0
VCL;51
DEPDC1B;0
DAPK2;0
NSMAF;17
ADSS2;0
STAP1;3
TIMP2;1
RFC1;5
TBC1D23;1
CUL3;9
MYOM2;7
OTC;0
CYP46A1;0
ZZZ3;0
SLC18A1;0
USP2;4
CASR;0
TUBG2;2
RPL26L1;0
FLT4;1
NSUN2;2
FBXO42;1
MFAP3;4
MRI1;0
METTL1;2
HOXC8;0
AGA;0
PI4K2B;2
BOD1L1;7
MAT2B;3
TLL1;0
EDC4;0
TRIO;8
VCAN;1
CLEC16A;6
MSR1;1
CDH1;0
MTREX;1699
DNAH5;3
ZFYVE16;84
RIPOR1;25
C6;0
RAI14;2
SOX30;0
PNKP;216
BEST2;0
PHLPP2;10
SPDL1;3
STAU2;0
SLC66A1;1
CTNS;195
RTN4R;1
PHF23;0
CDH10;0
INPP4A;4
RAB27B;1
PSMA4;1
MYO16;0
LSG1;0
PARP3;0
TNC;6
THAP3;279
RIPOR3;52
TDP1;6
AIFM2;1
C2orf83;0
SPATA7;10
MED17;2
RETSAT;10
CAPG;3
AP2S1;1
USH2A;16
ZPBP;0
TG;1
ADAM28;22
BARX2;7
DCUN1D1;1
JADE2;4
ZIC2;0
LCP2;1
TRIT1;0
ADRB1;0
GUCA2B;0
CUL7;28
CTNNA1;41
PHKA2;22
CNTLN;3
EPHA3;0
HSPA5;12
DSG2;0
GEMIN8;3
OFD1;4
GPM6B;53
MAGEC2;0
PREX2;1
WDR37;9
YTHDC2;1
CTPS2;1
ATP6V1H;1
POLR2B;1723
FAM214A;0
ARAP2;3
TPR;10
CP;476
KATNIP;29
DTNBP1;7
XK;0
ANO2;1
C12orf4;2
SCML1;2
WWC3;2
ARHGAP6;23
FAM184B;295
MAP4;3
GOPC;2
ROS1;0
USP28;0
HDAC9;8
TSPAN17;0
NOP16;648
CC2D2A;645
RRM2B;1
ZNF800;3
TNFRSF17;0
SNX29;0
LMO3;15
MRPS10;2
GUCA1A;0
RSF1;5
VPS13D;1
CELF2;8
FAM120A;7
R3HDM1;5
COL9A2;0
KITLG;5
ERCC8;1
ADAMTS6;2
H6PD;0
VAMP3;0
PER3;16
UTS2;181
TNFRSF9;0
EPN3;1
LTBP1;0
RCN1;1
ELN;1
RFC2;0
ARID1B;8
CLPTM1L;3
NEDD4L;13
FOXP3;20
PPP1R3F;1
HEXB;252
PTCD2;3
NEXMIF;1
JKAMP;1
3,00 DKK;293
ARHGEF5;0
NFE2L3;381
MCUR1;0
LIMA1;6
LETMD1;6
SLC4A8;3
LAMC3;1
PTGER3;5
TNIP3;0
MAPK9;3
COL23A1;32
BCAR1;4
FAM160A2;0
HERPUD1;5
HOMER3;5
RAD51;10
POLQ;3
PIK3CB;1
CYBA;27
THOC3;0
HEBP2;18
MPHOSPH9;3
PLEKHA5;5
PRSS8;8
SIKE1;0
RRP12;2
FNIP2;4
MSMO1;0
TTC17;2
ALX4;6
FSTL4;0
FOXN3;2
METTL24;2
AKR7A2;4
MRTO4;39
NNAT;17
USE1;5
MCF2L2;226
NRIP2;86
LAMA3;2
AP5M1;6
ANAPC4;1
KCNQ1;6
TRAPPC3;1
THRAP3;7
PHPT1;8
ENTPD2;0
LY75;3
ARID4B;10
OPN3;153
SDCCAG8;40
PTPRN;76
HHAT;2
KIF1B;4
FOXC1;1
TBC1D22A;1
SYNE2;28
PLEKHH1;104
ATP9A;2
SPO11;0
CBLN4;0
CHRDL2;3
FAM168A;29
RELT;0
GALC;0
NOP58;5
SZRD1;4
KCNH2;3
CUL1;25
FAM114A2;3
CYFIP2;4
TAB2;6
GINM1;1
EIF2AK2;12
USP36;5
KMT2C;51
MCOLN3;2
CCDC85A;0
PUM2;0
MRPL43;40
ITIH4;0
ITIH1;0
HPF1;0
ZFR;9
ZNF280C;0
NPFFR2;0
PHF21B;2
TRAF1;3
RC3H2;0
IL17RB;35
TRAF3IP2;31
GYG2;1
DCBLD2;19
SERPINB3;0
SOAT1;3
PKP2;0
MSH4;1
F7;0
GDI2;25
PRDM1;1
ATG5;0
TMCC3;0
PITHD1;1
MTA3;0
USP13;2
ATP11B;4
LAMC2;0
CDK14;21
SEC61A1;12
PPP1R12A;8
RASGRF1;3
CAMK2B;1
CROCC;1
POLR3E;10
ATP2B4;5
ZC3H11A;0
RIOK2;6
YIPF1;0
NDC1;1
DGKG;0
FLYWCH1;3
UNKL;169
TBXAS1;65
PARP12;1
ALDH18A1;2
TARBP1;0
GATB;8
MXD1;10
CDK17;0
DNAJC25;1
SLC2A3;0
PSD;68
CTDP1;1
YBX3;9
STYK1;0
WNK1;37
RPS17P5;0
CCAR1;6
OGFR;14
GNA15;0
CREB3L3;2
PIGV;3
PTPRU;0
SNRNP40;1
RIMBP2;0
COL11A1;0
QSER1;3
MPC1;0
ACAA1;0
BCAT1;0
HDAC7;26
LZTS1;0
PRDM6;0
WNT8A;2
SPAG4;274
NCKAP1;0
MRPS35;0
GUCY1B1;2
SFSWAP;2
TNK2;3
MON2;0
CDH3;1
ARSF;0
GPBP1;0
DGAT2;2
ZNF112;2
CS;7
LTK;0
MRPS24;1
ELMO2;18
WAPL;2
VMP1;12
APPBP2;1
POLD1;2
SEZ6;17
EIF4B;121
SLC6A16;1
BICRA;5
SPHK2;48
RPL18;24
CA11;6
ISOC2;1
U2AF2;3
EPN1;1
MED29;4
AHRR;1
GSC2;0
ZNF275;0
MTMR1;3
GPC1;17
ADCK1;2
HAGH;17
RNF4;4
CASP8;24
LIMCH1;6
INTS13;4
TM7SF3;7
DLX3;0
SPA17;3
TSPAN32;18
CCN5;1
DMRT3;0
ST3GAL6;16
ATP2C2;11
NGFR;0
CDON;0
TAF2;2
HIPK2;17
TNPO3;6
BORCS8-MEF2B;0
RFXANK;94
TMEM161A;0
LPAR2;1
CTSA;162
SUGP2;45
SLC12A2;2
SNX24;42
EYA2;1
CNN2;2
ABCA7;0
SNCAIP;1
DDX20;0
BTBD1;19
FAR2;261
BCAS1;4
POU1F1;5
CHI3L2;11
SBNO2;6
PMS1;52
HMG20B;3
CALCRL;3
TAF11;10
ANKS1A;4
AP3D1;13
ZNF76;5
SLC9A3R2;14
NTHL1;7
UHRF1BP1;242
GNAI3;1
IPO5;3
OAT;0
WDR3;16
PKN2;12
WDR18;0
TRAM2;12
NTN1;15
GLP2R;0
MCM10;0
DGKA;8
ERBB3;3
ROPN1;0
ANKRD44;2
KARS1;175
ADAT1;1
PDIA5;4
TBC1D22B;1
NDUFB4;1
SPEN;19
MYLK;35
ZC3H15;7
MAP2K4;1
PACC1;12
SNAP91;0
SLK;3
CYB5R4;3
COL17A1;5
GSTO2;7
SEC61A2;194
PRKCQ;11
TLE2;0
ASB1;2
FAM107B;206
ME1;0
TBC1D1;0
CDK13;65
MTHFD2;17
SLC9A7;21
FOXJ2;0
YBX1;24
PDE4A;1
PPP2R5A;12
CTNNA2;1
ELAVL1;3
TIE1;4
DIP2B;0
SMARCD1;1
KDM4A;1
NFYC;16
ZMYND12;6
SLC9A3;224
NGEF;6
ASPM;1
CD84;0
ELOVL1;0
SPI1;1
POLR1H;17
MPPED2;3
CLDN18;60
ZBTB11;40
ATXN3;2
GOLGA5;6
FGFR2;0
LRRC40;1
ISOC1;6
EML1;8
TRMT11;1
THUMPD1;8
MSANTD3;0
KIF26A;0
ATG2B;1
ARFGEF1;19
ACSM2B;18
ZFAT;0
MTFR1;146
STAG3;150
FECH;0
MYO9A;28
DDX3Y;2
PFKP;27
IDI1;6
SP100;3
KLF6;29
PLPP1;159
NEO1;4
TRAM1;6
PHKA1;1
TNFRSF1A;3
CACNB1;1
EVI5;0
STOML1;1
PKM;30
DHX29;5
DNTTIP2;11
METTL22;3
TP53BP1;206
TRO;1
RRP15;0
RHOA;74
DHX8;5
PMS2P4;0
PRKCZ;17
ZFY;1
IARS2;2
SYT1;3
NAV3;0
IDH3G;4
ROGDI;0
PDZD4;1
ATP2B3;0
ROCK1;0
CBFB;3
PDK3;2
HYAL2;3
HDAC4;1
RASSF1;5
FGFR3;2
IFI35;4
HEATR6;2
COASY;0
PLEKHH3;3
MEF2A;18
OTUD5;12
TFE3;2
TBC1D25;1
ACSL4;1
INPP5A;9
GPKOW;0
GRIPAP1;0
FTSJ1;0
PRR11;2
REEP1;2
ATP11A;29
POLR1A;6
LAPTM4A;6
TTC7A;4
IP6K2;9
STON1-GTF2A1L;0
SRBD1;2
KIF2A;256
RASGRP2;1
PSME4;1
IFT80;27
SIRT2;0
ERLEC1;8
PPP2R5B;3
PYGM;1
PAGE1;0
PITX1;1
TRPC7;5
MAST4;7
ADGRF5;2
SDK2;0
ADAM7;1
NUP133;2
NUCKS1;12
VPS35;0
DNAJA2;7
BCL3;3
KCNAB2;12
ABCC9;4
GAL;0
CLEC2D;9
FUNDC1;1
MAOB;4
RORA;59
DRD4;0
TGFBR3;3
PLA2G10;3
HES2;0
ATP1B3;6
NEDD4;0
PIGB;206
MAPK6;9
