symbol;value
VSIG2;14
PHLDB1;1460
MARCO;86
CYP24A1;17
PRDM11;234
SYT13;5
SNAI2;132
CD74;373158
HGF;383
ZRANB1;1088
NCDN;820
ADGRA2;1639
CCT8L1P;0
ZFP64;505
MNAT1;258
SAMD4A;889
RUNX3;1415
MRE11;722
PLEKHB1;84
SERPINB1;3819
CYP3A43;1
SLC7A9;575
SPAST;693
NRXN3;80
OSBPL5;276
AQR;1920
CPS1;41
C8B;0
FHL1;3547
RTF2;2071
GABRA1;0
NLRP2;10
SLC45A4;1235
RNF10;3427
ZNF839;426
ZDHHC6;1834
GRAMD1B;284
RNH1;4076
NDUFS1;3351
RB1CC1;1799
ERP44;2633
ALAS1;1046
BIRC3;11637
AKAP11;2531
GLRX2;475
SNAPC1;261
DERA;1874
STRAP;2789
ABCC2;974
DEF6;545
PLEKHO1;1700
GCLM;823
UBR2;2314
EHD2;6699
DEPDC1;95
CCDC28A;1134
RRAGD;3559
HSF2;350
PHF20;1214
HSD17B6;37
NR1H3;2194
TYMP;2533
NCAPH2;1440
TOMM34;835
SEC63;2754
KPNA6;1912
VIM;139976
RTEL1-TNFRSF6B;35
FAS;1431
RNASET2;1830
CD44;3602
KCNG1;1
AGPAT4;164
SLAMF7;2640
BTN3A1;8116
MIPEP;712
PRKCH;1824
INSRR;12
IFNGR1;3089
B4GALT7;789
SH2D2A;362
VRK2;863
TNFRSF1B;3276
VEZT;1715
POU2F2;450
BRD9;779
SNX1;3436
TBPL1;326
ARNTL2;421
BCLAF1;2792
SLC39A9;3574
ANK1;148
IBSP;2
TFB1M;316
RABEP1;2071
HMGB3;156
NUP160;2164
BAK1;742
MUSK;0
IKZF2;635
GRN;12138
FAM13B;1453
ARHGAP31;2264
CENPQ;145
SARS1;4171
RANBP3;1253
ARID4A;1138
EIPR1;537
PNPLA6;1424
IFT88;687
ALG1;833
ZCCHC8;921
ABCF2;431
CHPF2;1408
LRRC7;188
FUT8;863
UBA6;1257
GAB2;1520
ATP6V0A1;2168
PIAS1;1921
SLC4A7;3359
APBA2;36
MAP2K3;1225
EFCAB1;0
TMSB10;33640
ASTE1;369
RNF19A;2408
PEX3;598
GABARAPL2;2342
MYOC;123
SH3YL1;2737
FAM136A;888
VCL;1989
DEPDC1B;77
DAPK2;67
NSMAF;1193
ADSS2;885
STAP1;17
TIMP2;5408
RFC1;2032
TBC1D23;1140
CUL3;2306
MYOM2;217
OTC;0
CYP46A1;28
ZZZ3;1441
SLC18A1;3
USP2;873
CASR;14
TUBG2;376
RPL26L1;466
FLT4;1582
NSUN2;2145
FBXO42;1022
MFAP3;907
MRI1;727
METTL1;411
HOXC8;21
AGA;720
PI4K2B;901
BOD1L1;1670
MAT2B;4920
TLL1;862
EDC4;959
TRIO;2489
VCAN;1622
CLEC16A;617
MSR1;5103
CDH1;2916
MTREX;5666
DNAH5;408
ZFYVE16;1840
RIPOR1;2927
C6;116
RAI14;2088
SOX30;6
PNKP;949
BEST2;0
PHLPP2;369
SPDL1;253
STAU2;1011
SLC66A1;299
CTNS;829
RTN4R;51
PHF23;851
CDH10;0
INPP4A;867
RAB27B;22
PSMA4;2746
MYO16;9
LSG1;1035
PARP3;677
TNC;1636
THAP3;855
RIPOR3;433
TDP1;630
AIFM2;401
C2orf83;0
SPATA7;584
MED17;125
RETSAT;2100
CAPG;4294
AP2S1;1315
USH2A;8
ZPBP;0
TG;14
ADAM28;527
BARX2;1906
DCUN1D1;770
JADE2;3469
ZIC2;0
LCP2;3032
TRIT1;436
ADRB1;11
GUCA2B;2
CUL7;1191
CTNNA1;12663
PHKA2;4703
CNTLN;467
EPHA3;768
HSPA5;17539
DSG2;2993
GEMIN8;334
OFD1;933
GPM6B;37
MAGEC2;0
PREX2;337
WDR37;857
YTHDC2;1403
CTPS2;571
ATP6V1H;1281
POLR2B;4988
FAM214A;936
ARAP2;1377
TPR;3925
CP;929
KATNIP;467
DTNBP1;828
XK;5
ANO2;59
C12orf4;848
SCML1;223
WWC3;1569
ARHGAP6;290
FAM184B;273
MAP4;7203
