symbol;value
TSPAN6;0
TNMD;21
DPM1;12
SCYL3;227
C1orf112;193
FGR;0
CFH;1
FUCA2;103
GCLC;5
NFYA;1
STPG1;33
NIPAL3;8
LAS1L;73
ENPP4;23
SEMA3F;7
CFTR;246
ANKIB1;4
CYP51A1;4
KRIT1;7
RAD52;122
MYH16;119
BAD;28
LAP3;8
CD99;0
CD99;0
HS3ST1;55
AOC1;45
WNT16;30
HECW1;18
MAD1L1;6
LASP1;2
SNX11;56
TMEM176A;49
M6PR;138
KLHL13;0
CYP26B1;0
ICA1;7
DBNDD1;22
ALS2;1
CASP10;20
CFLAR;90
TFPI;290
NDUFAF7;167
RBM5;19
MTMR7;999
SLC7A2;0
ARF5;0
SARM1;863
POLDIP2;291
PLXND1;1
AK2;5
CD38;2
FKBP4;199
KDM1A;355
RBM6;10
CAMKK1;0
RECQL;385
VPS50;3
HSPB6;13
ARHGAP33;11
NDUFAB1;12
PDK4;93
SLC22A16;0
ZMYND10;13
ABCB5;0
ARX;0
SLC25A13;4
ST7;12
CDC27;10
SLC4A1;0
CALCR;1
HCCS;7
DVL2;14
PRSS22;0
UPF1;2
SKAP2;5
SLC25A5;1
MCUB;72
HOXA11;2
POLR2J;21
DHX33;3
MEOX1;2
THSD7A;23
LIG3;541
RPAP3;0
ACSM3;149
REXO5;24
CIAPIN1;0
SPPL2B;0
FAM214B;0
COPZ2;2
PRKAR2B;8
MSL3;1
CREBBP;10
TSPOAP1;20
MPO;0
PON1;16
GCFC2;554
WDR54;93
CROT;66
ABCB4;48
KMT2E;531
RHBDD2;0
SOX8;1
IBTK;2
ZNF195;0
MYCBP2;114
FBXL3;1155
ITGAL;4
PDK2;69
ITGA3;6
ZFX;1
LAMP2;2
ITGA2B;0
ASB4;0
GDE1;1
REX1BD;3
CRLF1;96
OSBPL7;0
TMEM98;0
YBX2;16
KRT33A;0
MAP3K14;15
ABCC8;2
CACNG3;0
TMEM132A;81
AP2B1;26
TAC1;0
ZNF263;334
CX3CL1;3
SPATA20;0
CACNA1G;0
TNFRSF12A;2
DLX6;0
MAP3K9;0
RALA;2
BAIAP2L1;273
KDM7A;3
ETV1;0
AGK;791
ALDH3B1;10
TTC22;1
PHTF2;0
CCL26;0
FARP2;256
USH1C;5
GGCT;0
DBF4;14
TBXA2R;0
IFRD1;25
LGALS14;1
COX10;0
GTF2IRD1;4
PAF1;172
VPS41;2
ARHGAP44;25
ELAC2;7
SCIN;0
ARSD;1
PNPLA4;5
MYH13;0
ADIPOR2;14
CDKL3;0
UPP2;63
PRSS21;0
MARK4;1
PROM1;1
CCDC124;0
CEACAM21;0
PAFAH1B1;9
NOS2;0
DNAH9;19
KIAA0100;13
SLC13A2;0
GAS7;1
TRAPPC6A;7
MATK;0
CEACAM7;0
CD79B;0
SCN4A;0
ST7L;245
TKTL1;1
PAX6;280
RPUSD1;0
RHBDF1;1
LUC7L;1
CACNA2D2;64
BAIAP3;54
TSR3;9
PIGQ;3
CRAMP1;0
TEAD3;33
SELE;17
DNAJC11;24
FMO3;233
MYLIP;0
NOX1;19
E2F2;0
PSMB1;1
SYN1;23
JARID2;101
CDKL5;2
CAMK1G;1
CDK11A;3
NADK;6
TFAP2B;1
TFAP2D;0
DLEC1;263
CYTH3;28
ADAM22;432
SYPL1;1
CYB561;6
SPAG9;8
CELSR3;9
AASS;3
PLEKHG6;151
SS18L2;32
MPND;102
MGST1;1
CRY1;1
PGLYRP1;30
NFIX;8
ST3GAL1;55
MMP25;267
IL32;7
PKD1;8
MAPK8IP2;0
MED24;1
RHOBTB2;297
HEATR5B;1
SEC62;6
RPS20;1
CSDE1;9
UBE3C;1
REV3L;1673
TENM1;130
PAX7;0
MASP2;357
IYD;0
FAM76A;1
TRAF3IP3;86
POMT2;0
VTA1;2
MLXIPL;3
BAZ1B;9
RANBP9;196
ETV7;3
SPRTN;240
EEF1AKNMT;0
DYRK4;4
ZNF207;13
UQCRC1;2
STARD3NL;3
CD9;4
HHATL;0
NCAPD2;172
IFFO1;4
GIPR;5
PHF7;0
SEMA3G;2
NISCH;1
STAB1;23
FUZ;78
SLC6A13;11
IDS;0
PRSS3;2
ZNF200;1
CD4;2
LRRC23;1
BTK;0
HFE;15
SCMH1;219
FYN;9
HIVEP2;14
FMO1;3
ELOA;141
LYPLA2;13
CLCN6;0
MRC2;0
NME1-NME2;0
SLC6A7;0
TSPAN9;0
BTBD7;1
APBA3;1
MKS1;1
ABHD5;8
ANOS1;0
AKAP8L;6
MBTD1;136
UTP18;11
RNF216;0
TTC19;574
PTBP1;0
DPF1;7
SYT7;5
LARS2;2
PIK3C2A;19
PLAUR;2
ANLN;6
WIZ;3
RABGAP1;28
DCN;0
QPCTL;9
PPP5C;122
CEP68;1155
MAP4K3;2
ZBTB32;132
TYROBP;1
TMEM159;0
GABRA3;0
BRCA1;5
ERCC1;95
CD22;0
SEMA3B;2
MBTPS2;0
PRICKLE3;57
LTF;0
EXTL3;15
NR1H4;2
ELOVL5;5
ALOX5;22
KDM5D;2
CALCOCO1;3
UBR7;0
MAP4K5;20
EHD3;7
PSMC4;28
MAN2B2;201
SLC7A14;1
CLDN11;0
SLC25A39;0
MVP;5
NUB1;28
PGM3;642
RWDD2A;9
CLK1;4
POLR3B;4
ANGEL1;3
RNF14;2
DNASE1L1;50
DDX11;2
HEBP1;49
GPRC5A;1
MAMLD1;0
CD6;33
TACC3;2
UFL1;9
POLA2;26
ZC3H3;4
CAPN1;15
ACP3;2
MDH1;10
SLC30A9;1
MTMR11;1
COX15;235
CCDC88C;0
YAF2;2
ZMYND11;82
WAS;12
DPEP1;1
BID;196
MATR3;0
NPC1L1;0
XYLT2;281
RGPD5;0
STMN4;2
NUDCD3;1
ISL1;0
CHDH;373
IL20RA;0
CLCA1;0
CLCA4;5
GLT8D1;160
ATP2C1;30
IGF1;10
SLC38A5;1
RALBP1;12
RUFY3;33
CNTN1;0
SLC11A1;8
WWTR1;7
AGPS;39
ZNF806;1
CXorf56;6
ATP1A2;1
TTC27;1
ZNF582;37
VSIG2;7
PHLDB1;19
MARCO;0
CYP24A1;0
PRDM11;1
SYT13;0
SNAI2;0
CD74;87
HGF;6
ZRANB1;371
NCDN;14
ADGRA2;83
CCT8L1P;3
ZFP64;1
MNAT1;3
SAMD4A;22
RUNX3;2
MRE11;1
PLEKHB1;21
SERPINB1;72
CYP3A43;15
SLC7A9;3
SPAST;98
