symbol;value
PLEKHB1;37
SERPINB1;8
CYP3A43;9
SLC7A9;5
SPAST;69
NRXN3;1
OSBPL5;4
AQR;4
CPS1;7
C8B;0
FHL1;0
RTF2;6
GABRA1;0
NLRP2;4
SLC45A4;17
RNF10;91
ZNF839;106
ZDHHC6;18
GRAMD1B;46
RNH1;68
NDUFS1;6
RB1CC1;12
ERP44;110
ALAS1;4
BIRC3;3
AKAP11;2
GLRX2;1251
SNAPC1;1
DERA;0
STRAP;3
ABCC2;2
DEF6;9
PLEKHO1;14
GCLM;10
UBR2;10
EHD2;17
DEPDC1;3
CCDC28A;0
RRAGD;3
HSF2;12
PHF20;65
HSD17B6;125
NR1H3;188
TYMP;75
NCAPH2;279
TOMM34;76
SEC63;14
KPNA6;7
VIM;26
RTEL1-TNFRSF6B;51
FAS;81
RNASET2;4
CD44;41
KCNG1;8
AGPAT4;248
SLAMF7;1
BTN3A1;8
MIPEP;1
PRKCH;148
INSRR;7
IFNGR1;54
B4GALT7;32
SH2D2A;29
VRK2;491
TNFRSF1B;2
VEZT;14
POU2F2;10
BRD9;21
SNX1;7
TBPL1;282
ARNTL2;4
BCLAF1;43
SLC39A9;591
ANK1;8
IBSP;3
TFB1M;11
RABEP1;633
HMGB3;17
NUP160;2
BAK1;8
MUSK;10
IKZF2;4
GRN;21
FAM13B;18
ARHGAP31;121
CENPQ;0
SARS1;26
RANBP3;17
ARID4A;4
EIPR1;8
PNPLA6;21
IFT88;2
ALG1;617
ZCCHC8;8
ABCF2;2
CHPF2;21
LRRC7;369
FUT8;18
UBA6;9
GAB2;151
ATP6V0A1;61
PIAS1;530
SLC4A7;5
APBA2;0
MAP2K3;4
EFCAB1;16
TMSB10;160
ASTE1;499
RNF19A;58
PEX3;26
GABARAPL2;59
MYOC;1
SH3YL1;56
FAM136A;21
VCL;359
DEPDC1B;0
DAPK2;3
NSMAF;53
ADSS2;19
STAP1;22
TIMP2;16
RFC1;19
TBC1D23;5
CUL3;10
MYOM2;0
OTC;0
CYP46A1;1
ZZZ3;5
SLC18A1;12
USP2;10
CASR;0
TUBG2;112
RPL26L1;14
FLT4;8
NSUN2;23
FBXO42;2
MFAP3;8
MRI1;5
METTL1;19
HOXC8;5
AGA;13
PI4K2B;3
BOD1L1;11
MAT2B;2
TLL1;3
EDC4;6
TRIO;18
VCAN;1
CLEC16A;13
MSR1;0
CDH1;9
MTREX;188
DNAH5;1
ZFYVE16;941
RIPOR1;126
C6;0
RAI14;39
SOX30;0
PNKP;1270
BEST2;81
PHLPP2;409
SPDL1;3
STAU2;39
SLC66A1;16
CTNS;1141
RTN4R;3
PHF23;9
CDH10;0
INPP4A;46
RAB27B;7
PSMA4;22
MYO16;2
LSG1;13
PARP3;2
TNC;62
THAP3;1091
RIPOR3;396
TDP1;4
AIFM2;62
C2orf83;5
SPATA7;70
MED17;27
RETSAT;95
CAPG;7
AP2S1;1
USH2A;148
ZPBP;0
TG;2
ADAM28;1
BARX2;9
DCUN1D1;13
JADE2;14
ZIC2;0
LCP2;0
TRIT1;1
ADRB1;0
GUCA2B;0
CUL7;246
CTNNA1;117
PHKA2;18
CNTLN;0
EPHA3;0
HSPA5;51
DSG2;4
GEMIN8;1
OFD1;2
GPM6B;131
MAGEC2;3
PREX2;0
WDR37;15
YTHDC2;5
CTPS2;10
ATP6V1H;4
POLR2B;75
FAM214A;4
ARAP2;4
TPR;67
CP;657
KATNIP;4
DTNBP1;98
XK;2
ANO2;2
C12orf4;2
SCML1;2
WWC3;9
ARHGAP6;24
FAM184B;574
MAP4;115
GOPC;59
ROS1;3
USP28;1
HDAC9;106
TSPAN17;2
NOP16;1199
CC2D2A;1029
RRM2B;1
ZNF800;4
TNFRSF17;20
SNX29;7
LMO3;125
MRPS10;4
GUCA1A;6
RSF1;8
VPS13D;1
CELF2;6
FAM120A;18
R3HDM1;1
COL9A2;7
KITLG;2
ERCC8;3
ADAMTS6;0
H6PD;10
VAMP3;6
PER3;0
UTS2;290
TNFRSF9;0
EPN3;17
LTBP1;1
RCN1;11
ELN;51
RFC2;2
ARID1B;45
CLPTM1L;9
NEDD4L;18
FOXP3;84
PPP1R3F;1
HEXB;695
PTCD2;4
NEXMIF;0
JKAMP;3
3,00 DKK;1145
ARHGEF5;3
NFE2L3;3188
MCUR1;8
LIMA1;16
LETMD1;15
SLC4A8;20
LAMC3;3
PTGER3;0
TNIP3;3
MAPK9;4
COL23A1;7
BCAR1;27
FAM160A2;0
HERPUD1;9
HOMER3;22
RAD51;67
POLQ;5
PIK3CB;5
CYBA;47
THOC3;1
HEBP2;267
MPHOSPH9;52
PLEKHA5;34
PRSS8;73
SIKE1;1
RRP12;28
FNIP2;2
MSMO1;11
TTC17;11
ALX4;172
FSTL4;3
FOXN3;53
METTL24;5
AKR7A2;1
MRTO4;12
NNAT;954
USE1;12
MCF2L2;957
NRIP2;565
LAMA3;12
AP5M1;2
ANAPC4;1
KCNQ1;15
TRAPPC3;2
THRAP3;31
PHPT1;86
ENTPD2;1
LY75;0
ARID4B;68
OPN3;121
SDCCAG8;27
PTPRN;10
HHAT;50
KIF1B;27
FOXC1;24
TBC1D22A;1
SYNE2;81
PLEKHH1;549
ATP9A;5
SPO11;4
CBLN4;0
CHRDL2;21
FAM168A;193
RELT;63
GALC;5
NOP58;12
SZRD1;10
KCNH2;4
CUL1;94
FAM114A2;2
CYFIP2;17
TAB2;1
GINM1;11
EIF2AK2;45
USP36;25
KMT2C;143
MCOLN3;2
CCDC85A;0
PUM2;12
MRPL43;157
ITIH4;0
ITIH1;0
HPF1;13
ZFR;8
ZNF280C;5
NPFFR2;0
PHF21B;0
TRAF1;2
RC3H2;2
IL17RB;241
TRAF3IP2;169
GYG2;0
DCBLD2;6
SERPINB3;6
SOAT1;5
PKP2;1
MSH4;0
F7;2
GDI2;161
PRDM1;1
ATG5;4
TMCC3;2
PITHD1;0
MTA3;7
USP13;2
ATP11B;144
LAMC2;22
CDK14;3
SEC61A1;164
PPP1R12A;29
RASGRF1;4
CAMK2B;10
CROCC;17
POLR3E;75
ATP2B4;11
ZC3H11A;0
RIOK2;4
YIPF1;1
NDC1;4
DGKG;2
FLYWCH1;66
UNKL;258
TBXAS1;38
PARP12;2
ALDH18A1;8
TARBP1;12
GATB;80
MXD1;19
CDK17;76
DNAJC25;2
SLC2A3;9
PSD;266
CTDP1;6
YBX3;66
STYK1;2
WNK1;394
RPS17P5;0
CCAR1;25
OGFR;29
GNA15;93
CREB3L3;0
PIGV;14
PTPRU;3
SNRNP40;0
RIMBP2;1
COL11A1;0
QSER1;9
MPC1;1
ACAA1;6
BCAT1;2
HDAC7;158
LZTS1;1
PRDM6;3
WNT8A;6
SPAG4;384
NCKAP1;11
MRPS35;0
GUCY1B1;0
SFSWAP;10
TNK2;9
MON2;11
CDH3;27
ARSF;0
GPBP1;4
DGAT2;11
ZNF112;1
CS;68
LTK;11
MRPS24;14
ELMO2;138
WAPL;5
VMP1;75
APPBP2;2
POLD1;3
SEZ6;63
EIF4B;376
SLC6A16;1
BICRA;4
SPHK2;78
RPL18;48
CA11;4
ISOC2;23
U2AF2;119
EPN1;7
MED29;40
AHRR;1
GSC2;0
ZNF275;3
MTMR1;90
GPC1;56
ADCK1;2
HAGH;42
RNF4;15
CASP8;27
LIMCH1;19
INTS13;10
TM7SF3;19
DLX3;1
SPA17;2
TSPAN32;9
CCN5;24
DMRT3;0
ST3GAL6;328
ATP2C2;666
NGFR;5
CDON;100
TAF2;5
HIPK2;7
TNPO3;38
BORCS8-MEF2B;0
RFXANK;305
TMEM161A;0
LPAR2;3
CTSA;360
SUGP2;118
SLC12A2;9
SNX24;522
EYA2;5
CNN2;3
ABCA7;6
SNCAIP;141
DDX20;3
BTBD1;89
FAR2;777
BCAS1;8
POU1F1;45
CHI3L2;38
SBNO2;82
PMS1;56
HMG20B;19
CALCRL;1
TAF11;78
ANKS1A;28
AP3D1;74
ZNF76;53
SLC9A3R2;57
NTHL1;19
UHRF1BP1;1694
GNAI3;5
IPO5;35
OAT;1
WDR3;33
PKN2;18
WDR18;2
TRAM2;86
NTN1;70
GLP2R;0
MCM10;5
DGKA;51
ERBB3;50
ROPN1;0
ANKRD44;8
KARS1;265
ADAT1;4
PDIA5;1
TBC1D22B;6
NDUFB4;6
SPEN;118
MYLK;556
ZC3H15;7
MAP2K4;2
PACC1;128
SNAP91;0
SLK;19
CYB5R4;1
COL17A1;189
GSTO2;44
SEC61A2;801
PRKCQ;0
TLE2;6
ASB1;3
FAM107B;10
ME1;8
TBC1D1;1
CDK13;161
MTHFD2;34
SLC9A7;57
FOXJ2;3
YBX1;163
PDE4A;4
PPP2R5A;200
CTNNA2;0
ELAVL1;5
TIE1;19
DIP2B;11
SMARCD1;14
KDM4A;73
NFYC;74
ZMYND12;8
SLC9A3;375
NGEF;79
ASPM;15
CD84;5
ELOVL1;101
SPI1;1
POLR1H;190
MPPED2;0
CLDN18;124
ZBTB11;91
ATXN3;7
GOLGA5;3
FGFR2;0
LRRC40;0
ISOC1;2
EML1;2
TRMT11;6
THUMPD1;4
MSANTD3;1
KIF26A;0
ATG2B;6
ARFGEF1;202
ACSM2B;0
ZFAT;4
MTFR1;748
STAG3;208
FECH;6
MYO9A;75
DDX3Y;0
PFKP;64
IDI1;68
SP100;35
KLF6;41
PLPP1;269
NEO1;5
TRAM1;8
PHKA1;3
TNFRSF1A;64
