symbol;value
ZRANB1;849
NCDN;737
ADGRA2;1153
CCT8L1P;0
ZFP64;275
MNAT1;199
SAMD4A;208
RUNX3;71
MRE11;565
PLEKHB1;16
SERPINB1;376
CYP3A43;0
SLC7A9;10
SPAST;581
NRXN3;11
OSBPL5;811
AQR;1748
CPS1;64
C8B;0
FHL1;1286
RTF2;1036
GABRA1;0
NLRP2;698
SLC45A4;191
RNF10;2542
ZNF839;252
ZDHHC6;795
GRAMD1B;20
RNH1;1983
NDUFS1;1869
RB1CC1;1401
ERP44;919
ALAS1;762
BIRC3;312
AKAP11;1808
GLRX2;478
SNAPC1;79
DERA;346
STRAP;1848
ABCC2;29
DEF6;147
PLEKHO1;277
GCLM;287
UBR2;1318
EHD2;1838
DEPDC1;13
CCDC28A;182
RRAGD;166
HSF2;207
PHF20;1522
HSD17B6;146
NR1H3;575
TYMP;357
NCAPH2;469
TOMM34;492
SEC63;1550
KPNA6;1330
VIM;18299
RTEL1-TNFRSF6B;10
FAS;244
RNASET2;214
CD44;4553
KCNG1;3
AGPAT4;106
SLAMF7;40
BTN3A1;408
MIPEP;553
PRKCH;499
INSRR;1
IFNGR1;944
B4GALT7;304
SH2D2A;8
VRK2;426
TNFRSF1B;294
VEZT;1412
POU2F2;75
BRD9;253
SNX1;2132
TBPL1;122
ARNTL2;68
BCLAF1;2251
SLC39A9;3359
ANK1;5
IBSP;21
TFB1M;106
RABEP1;2974
HMGB3;1065
NUP160;1183
BAK1;208
MUSK;1
IKZF2;497
GRN;2185
FAM13B;768
ARHGAP31;644
CENPQ;95
SARS1;2090
RANBP3;756
ARID4A;465
EIPR1;210
PNPLA6;376
IFT88;383
ALG1;601
ZCCHC8;416
ABCF2;132
CHPF2;520
LRRC7;7
FUT8;1146
UBA6;958
GAB2;487
ATP6V0A1;1102
PIAS1;938
SLC4A7;702
APBA2;37
MAP2K3;376
EFCAB1;3
TMSB10;6987
ASTE1;256
RNF19A;1347
PEX3;140
GABARAPL2;717
MYOC;13
SH3YL1;858
FAM136A;372
VCL;3417
DEPDC1B;5
DAPK2;141
NSMAF;460
ADSS2;1230
STAP1;13
TIMP2;8444
RFC1;1034
TBC1D23;743
CUL3;1794
MYOM2;8
OTC;0
CYP46A1;10
ZZZ3;984
SLC18A1;0
USP2;9
CASR;0
TUBG2;155
RPL26L1;155
FLT4;193
NSUN2;1100
FBXO42;549
MFAP3;849
MRI1;642
METTL1;133
HOXC8;82
AGA;419
PI4K2B;378
BOD1L1;1375
MAT2B;958
TLL1;192
EDC4;394
TRIO;2444
VCAN;13041
CLEC16A;759
MSR1;343
CDH1;6851
MTREX;1894
DNAH5;287
ZFYVE16;2249
RIPOR1;831
C6;430
RAI14;1009
SOX30;5
PNKP;645
BEST2;0
PHLPP2;239
SPDL1;163
STAU2;743
SLC66A1;125
CTNS;322
RTN4R;14
PHF23;535
CDH10;3
INPP4A;401
RAB27B;3041
PSMA4;1791
MYO16;20
LSG1;885
PARP3;315
TNC;1886
THAP3;347
RIPOR3;55
TDP1;254
AIFM2;340
C2orf83;0
SPATA7;201
MED17;101
RETSAT;2438
CAPG;1248
AP2S1;934
USH2A;5
ZPBP;0
TG;10
ADAM28;54
BARX2;45
DCUN1D1;675
JADE2;675
ZIC2;16
LCP2;174
TRIT1;333
ADRB1;6
GUCA2B;0
CUL7;774
CTNNA1;9977
PHKA2;775
CNTLN;113
EPHA3;97
HSPA5;8690
DSG2;3382
GEMIN8;382
OFD1;607
GPM6B;237
MAGEC2;0
PREX2;256
WDR37;299
YTHDC2;1175
CTPS2;518
ATP6V1H;950
POLR2B;2546
FAM214A;2776
ARAP2;327
TPR;2452
CP;164
KATNIP;680
DTNBP1;235
XK;2
ANO2;33
C12orf4;379
SCML1;114
WWC3;1889
ARHGAP6;76
FAM184B;190
MAP4;3696
GOPC;623
ROS1;4
USP28;410
HDAC9;163
TSPAN17;426
NOP16;389
CC2D2A;227
RRM2B;649
ZNF800;368
TNFRSF17;10
SNX29;717
LMO3;2254
MRPS10;663
GUCA1A;0
RSF1;1555
VPS13D;2601
CELF2;652
FAM120A;4825
R3HDM1;529
COL9A2;202
KITLG;1961
ERCC8;129
ADAMTS6;120
H6PD;2247
VAMP3;1705
PER3;784
UTS2;154
TNFRSF9;7
EPN3;345
LTBP1;748
RCN1;770
ELN;3268
RFC2;265
ARID1B;1087
CLPTM1L;714
NEDD4L;2052
FOXP3;33
PPP1R3F;50
HEXB;1492
PTCD2;263
NEXMIF;23
JKAMP;774
3,00 DKK;1248
ARHGEF5;183
NFE2L3;158
MCUR1;418
LIMA1;4095
LETMD1;636
SLC4A8;145
LAMC3;21
PTGER3;1150
TNIP3;0
MAPK9;1060
COL23A1;10
BCAR1;400
FAM160A2;750
HERPUD1;1491
HOMER3;81
RAD51;24
POLQ;15
PIK3CB;810
CYBA;118
THOC3;92
HEBP2;1446
MPHOSPH9;163
PLEKHA5;380
PRSS8;2621
SIKE1;640
RRP12;481
FNIP2;465
MSMO1;820
TTC17;1852
ALX4;27
FSTL4;19
FOXN3;1339
METTL24;9
AKR7A2;561
MRTO4;454
NNAT;89
USE1;137
MCF2L2;47
NRIP2;44
LAMA3;407
AP5M1;848
ANAPC4;378
KCNQ1;120
TRAPPC3;823
THRAP3;3572
PHPT1;248
ENTPD2;121
LY75;33
ARID4B;1211
OPN3;159
SDCCAG8;403
PTPRN;20
HHAT;278
KIF1B;891
FOXC1;129
TBC1D22A;353
SYNE2;2870
PLEKHH1;270
ATP9A;1521
SPO11;0
CBLN4;25
CHRDL2;4
FAM168A;4421
RELT;151
GALC;738
NOP58;847
SZRD1;1954
KCNH2;5
CUL1;751
FAM114A2;577
CYFIP2;682
TAB2;1438
GINM1;787
EIF2AK2;1421
USP36;636
KMT2C;1971
MCOLN3;27
CCDC85A;19
PUM2;2771
MRPL43;667
ITIH4;4
ITIH1;0
HPF1;251
ZFR;1607
ZNF280C;91
NPFFR2;5
PHF21B;0
TRAF1;165
RC3H2;969
IL17RB;129
TRAF3IP2;321
GYG2;1249
DCBLD2;544
SERPINB3;0
SOAT1;562
PKP2;353
MSH4;1
F7;144
GDI2;4564
PRDM1;312
ATG5;422
TMCC3;95
PITHD1;606
MTA3;1034
USP13;366
ATP11B;418
LAMC2;269
CDK14;475
SEC61A1;5413
PPP1R12A;1273
RASGRF1;145
CAMK2B;36
CROCC;177
POLR3E;911
ATP2B4;1787
ZC3H11A;5
RIOK2;587
YIPF1;1396
NDC1;871
DGKG;10
FLYWCH1;351
UNKL;343
TBXAS1;70
PARP12;212
ALDH18A1;1846
TARBP1;398
GATB;266
MXD1;278
CDK17;1235
DNAJC25;189
SLC2A3;645
PSD;52
CTDP1;306
YBX3;1182
STYK1;59
WNK1;5818
RPS17P5;0
CCAR1;1788
