gene;value
C4orf17;1
PPP3CA;1061
SLC39A8;1806
MTTP;12
FBN2;122
MAPK8IP3;1035
RGS3;1812
GUCD1;4846
TTLL8;0
RNF185;1735
SHISAL1;135
PARVG;418
B4GALNT3;800
PDE6H;0
ERP27;424
ETV6;3374
GABARAPL1;1026
KIF21A;711
CPNE8;109
YARS2;684
FGD4;562
ALG10;116
PIK3C2G;1
SINHCAF;5212
PLCZ1;0
AEBP2;1523
SLCO1C1;3
ETFBKMT;472
ETNK1;1302
ZCRB1;2995
TMEM117;203
PRICKLE1;1322
C1RL;1942
NDUFA9;529
CLSTN3;3777
KLRG1;28
VAMP1;374
TAPBPL;1185
CD27;247
RBP5;123
PEX5;1520
PIANP;293
SLC38A4;116
AMIGO2;498
SCAF11;3547
COL2A1;10
PPFIA2;57
ANP32D;3
LLPH;730
RPL14P1;692
LRIG3;677
MARCHF9;685
INHBE;15
GLIPR1;1467
TPH2;2
PHLDA1;1028
TMEM19;1238
LGR5;104
PTPRQ;36
DUSP6;3745
POC1B;1599
TMTC3;678
LUM;22968
KERA;11
SNRPF;2121
AMDHD1;20
NEDD1;958
SYCP3;100
ASCL1;2
GAS2L3;522
TMEM132B;54
SLC15A4;802
TDG;1100
RITA1;1410
SDSL;840
MMAB;1219
GLTP;1283
GIT2;1651
TCHP;1714
FAM222A;360
FOXN4;12
NUP58;1504
MTMR6;821
SLC46A3;632
SLC7A1;9681
PDX1;1
LNX2;705
SUOX;779
CCDC65;122
SLC39A5;24
TARBP2;1259
RDH16;8
DHH;5
ACVRL1;436
GPR84;96
NPFF;0
NABP2;1713
N4BP2L1;573
CELA1;1
SMARCC2;6348
BRCA2;309
KANSL2;1030
CERS5;1324
MAP3K12;4819
ITGB7;368
GALNT6;1543
CSAD;458
LMBR1L;493
MYG1;9
ESYT1;8320
TMBIM6;45703
ANKRD52;3848
KRT71;0
ZNF740;1665
SMIM2;8
WDFY2;503
HNRNPA1L2;89
LPAR6;528
ESD;3738
RB1;2225
SBNO1;2237
MORN3;64
SETD1B;3134
VPS33A;571
VPS37B;1423
RHOF;4009
DENR;3376
DIAPH3;524
SLAIN1;2166
RBM26;1329
SRRM4;3
METTL21C;1
MBNL2;2240
RNF113B;0
ZIC5;0
ABHD13;554
RAB20;534
GRTP1;462
CUL4A;4293
TTC6;8
SSTR1;1
CDH24;414
REM2;21
CBLN3;83
TSSK4;34
NOVA1;22
FITM1;6
MDGA2;7
TMX1;1098
FRMD6;876
PELI2;389
RTN1;400
ARMH4;217
SYT16;6
SLC38A6;165
NAA30;537
ADAM21;17
RDH12;12
DCAF5;1446
RAB15;357
WDR89;301
ESR2;2
KCNH5;0
STON2;1857
EFCAB11;284
GPR65;165
PTGR2;412
JDP2;1776
AK7;402
FAM181A;271
SLC24A4;12
FBLN5;1129
SERPINA10;0
CLBA1;1440
WARS1;6239
SLC25A47;2
WDR20;1013
NIPA2;1764
SLC12A6;1698
DUOXA1;37
MFAP1;717
TCF12;3124
SORD;610
SERF2;10406
ZSCAN29;597
DUOXA2;8
DUOX2;10
LYSMD2;283
SLC27A2;77
FGF7;193
HDC;5
GCNT3;21
BNIP2;1546
GTF2A2;2184
SRP14;6297
BAHD1;1015
DISP2;40
CDAN1;371
TLE3;3126
ANP32A;6341
COMMD4;2639
UBE2Q2;2450
PSTPIP1;105
ETFA;2666
BCL2A1;56
HMG20A;1981
SCAPER;718
TSPAN3;17999
WDR61;2200
NCOA2;914
NEIL1;885
MAN2C1;2898
DNAJA4;1004
TLNRD1;1648
TPM1;7102
IGF1R;3268
ARRDC4;390
PIF1;291
USP3;1577
CYP11A1;232
BBS4;600
PML;10128
CYP1A1;6
ADAMTS17;161
LINS1;329
ULK3;1843
GOLGA6D;0
PCSK6;82
CCDC33;78
CELF6;0
SCAMP2;8996
CYP1A2;7
LMAN1L;0
HAPLN3;960
RHCG;21
POLG;2372
RLBP1;2
FANCI;1982
ABHD2;3062
WDR93;63
TICRR;596
NTRK3;44
DET1;48
MFGE8;19221
ZNF710;1501
UNC45A;3112
ST8SIA2;176
MCTP2;172
FURIN;3800
IQGAP1;13776
CRTC3;2044
EFL1;1648
SH3GL3;97
SEC11A;8991
SEPTIN12;1
GLYR1;2719
PMM2;788
SLC5A2;1908
ITGAX;631
TGFB1I1;2300
RUSF1;3022
ARMC5;471
PARN;2136
FTO;1387
UQCRC2;5468
CDR2;450
IGSF6;377
ARHGAP17;1299
MYLK3;42
ABCC12;1
NKD1;579
DHX38;1336
TXNL4B;493
MARVELD3;379
CHST4;9
ZFHX3;1882
CLEC18B;89
CPNE2;1845
NLRC5;401
KATNB1;621
KIFC3;665
ADAMTS18;10
NUDT7;190
GCSH;79
CMTM3;3869
CMTM2;10
CDH11;4194
NOL3;275
MAP1LC3B;3889
MBTPS1;5592
CDH13;502
ZCCHC14;2373
MEAK7;458
ADAD2;2
OSGIN1;248
IRF8;417
RHOT2;1735
RPL3L;8
ZSCAN32;421
RPS2;56234
NDUFB10;1910
PDPK1;1107
TIGD7;204
DEF8;750
TCF25;3539
GALNS;1490
GAS8;535
MED9;545
NCOR1;2545
CDRT15P1;3
COPS3;1335
GID4;444
ZNF287;205
MYOCD;7
KSR1;331
UTP4;1608
RANBP10;730
CTRL;114
DPEP3;4
GFOD2;491
NOB1;1949
PRPSAP2;486
UNC45B;2
PCTP;1061
OR4D1;0
TOM1L1;1273
KIF2B;0
C17orf80;914
TOB1;1767
VPS53;1131
SPATA22;1
SGSM2;1023
NPEPPS;4011
SKAP1;56
LRRC46;138
SCRN2;519
SSH2;617
RHBDL3;10
SPACA3;6
ARSG;612
ABCA8;45
G6PC3;4497
CLTC;11236
C17orf64;1
BCAS3;1062
PTRH2;1189
SS18;3692
TAF4B;591
AFG3L2;4325
PRELID3A;100
IMPA2;1164
GNAL;367
SLC39A6;3191
RPRD1A;4513
C18orf21;514
GALNT1;3055
ASXL3;18
ADCYAP1;12
MEP1B;23
SLC25A52;3
GAREM1;1070
ESCO1;688
OSBPL1A;1548
GATA6;3434
GREB1L;93
RMC1;1543
PELP1;2676
NPC1;2208
SLC14A1;1
ARRB2;1770
SLC13A5;27
ZMYND15;139
WRAP53;787
MINK1;3963
SAT2;563
ASGR1;25
PIK3R5;301
TP53;7008
CCDC40;353
ARHGDIA;27333
TMC6;2846
SLC16A3;8004
CARD14;816
TTYH2;274
RAB40B;1204
EIF4A3;9998
CSNK1D;10560
ANAPC11;6135
TBCD;6544
FN3KRP;2034
NARF;3340
RPTOR;3579
FOXK2;6888
TRIM65;1176
CBX8;658
SECTM1;560
RNF157;258
CEP131;2217
ZNF750;54
WDR45B;8360
CBX4;1174
RNF165;146
DYM;3183
MAPK4;39
ELAC1;405
MBD1;3250
SMAD4;4097
TNFRSF11A;207
ZCCHC2;825
FBXO15;42
CBLN2;5
PMAIP1;278
P3H4;1349
NT5C3B;1193
RETREG3;2513
ERBB2;7664
GRB7;5320
MIEN1;3682
PNMT;1
ARL5C;2
STAC2;118
IGFBP4;8083
FKBP10;7703
TXNL4A;1851
CACNA1A;205
MISP3;991
SAMD1;3999
BRD4;7554
SLC39A3;532
NFIC;9560
TPGS1;433
PLPP2;179
ZIM3;0
PRDM15;560
PFKL;7713
FEM1A;1243
VAV1;360
MVB12A;1810
CIB3;0
AC008764.1;0
SH3GL1;3799
DUS3L;1093
DPP9;2752
DMRTC2;0
CCDC97;1581
TMEM91;100
ZFP14;585
SIRT3;550
IFITM3;43278
PGGHG;101
HUNK;1449
COL6A1;20263
OR1E3;0
IFNAR1;2425
SOD1;5770
COL6A2;26603
SIK1;6
DNMT3L;0
TRPM2;739
SCYL1;3734
TMEM50B;1873
APP;15697
DOP1B;830
URB1;2231
AKT1;13578
IL19;31
EMP3;696
SAE1;1664
NTN5;30
LMTK3;202
GEMIN7;326
CBLC;743
WTIP;959
ADAMTS10;207
SLC6A3;1
RNPEPL1;5183
CAPN10;608
MYO1F;762
ERVK3-1;132
NLRP12;25
CACNG8;29
ZNF787;1493
TIMM29;510
FBN3;81
CARM1;6534
EVI5L;1078
TM4SF5;0
SLC47A1;161
PSMB6;2073
GPR32;0
SIGLEC10;189
ACP4;2
KLK3;0
ZNF473;437
FAM71E1;459
RPS11;36409
PTH2;1
AC020909.1;0
RPL13A;48178
CTU1;467
NOSIP;1293
IGLON5;130
RCN3;2208
ZNF614;379
SLC2A5;532
RERE;8234
MMEL1;443
CFAP74;8
PRDM16;9
CELA2A;0
PADI3;1
FHAD1;121
PADI1;3
EPHA2;3854
ARHGEF19;1056
EFHD2;3914
PEX14;1320
PGD;7014
MYOM3;65
SH3BGRL3;8236
CNKSR1;1285
RPL11;34573
IL22RA1;11
ZNF593;1565
C1orf216;531
KIAA0319L;2104
EVA1B;968
C1orf94;3
DMRTA2;0
PLK4;338
MAP3K6;702
FCN3;47
GPN2;1026
SYTL1;1122
WDTC1;5520
CELA3A;0
NBPF3;115
HSPG2;16497
ITGB3BP;941
SERBP1;8065
BCL10;743
CCN1;8300
PRKACB;509
PIGK;551
TINAGL1;845
AZIN2;286
RPS8;55241
KIF2C;1252
PTPRF;28840
BEST4;46
MOB3C;519
CYP4B1;4078
TMEM61;53
DMRTB1;1
LMO4;1908
SYPL2;14
BARHL2;0
MTF2;410
SLC44A3;172
IGSF3;290
ZNF697;155
CTTNBP2NL;1528
STRIP1;582
KCNA10;0
PSMA5;2313
FNDC7;0
C1orf162;498
CD53;1203
PROK1;6
CELSR2;6447
ITGA10;29
GPR161;1711
ALDH9A1;1611
ATP1B1;3407
TIPRL;2195
NME7;813
POGK;3384
MPC2;1255
CREG1;6224
DCAF6;3040
GPA33;8
RXRG;11
TBX19;67
UCK2;1903
TMCO1;3385
XCL1;10
XCL2;17
POU2F1;1120
MAEL;43
ILDR2;294
DPT;42
MGST3;3371
ADCY10;1
1 COP;2104
NECTIN4;900
UFC1;2404
PPOX;633
FCGR2A;1445
NUF2;804
RGS5;1426
SDHC;3526
PFDN2;1321
NR1I3;133
USP21;1500
F13B;2
PRCC;3958
FCRL5;1
RRNAD1;1234
MRPL24;3232
PIGM;966
CASQ1;10
ISG20L2;2548
CRABP2;15878
HDGF;24358
ABL2;835
XPR1;6564
RGS16;813
TOR1AIP1;1960
FAM163A;19
HMCN1;527
RGL1;1831
LYPLAL1;121
LHX9;22
PRUNE1;1475
RORC;790
TUFT1;629
SF3B4;6674
ECM1;2050
ZNF687;4415
TARS2;1435
CGN;2098
SNX27;1351
SETDB1;2454
ADAMTSL4;150
MCL1;9698
CTSK;5037
RFX5;2608
PI4KB;2981
PIP5K1A;3964
ANP32E;1740
MINDY1;680
ANXA9;602
SELENBP1;1744
CERS2;8578
ENSA;4586
LSP1P4;39
SEMA6C;359
MRPL9;2778
ARNT;2133
POGZ;3155
C1orf56;1283
OAZ3;735
HORMAD1;2
GOLPH3L;1748
GABPB2;630
SYT14;3
KCNH1;6
DTL;466
DYRK3;437
EIF2D;1819
INTS7;567
VASH2;302
TAF1A;143
SMYD2;1084
SUSD4;820
DUSP10;402
HHIPL2;6
TP53BP2;1427
ATP8B2;493
FLG2;1
CRNN;7
ADAM15;3393
JTB;906
RAB13;1050
S100A8;46
TPM3;18597
NUP210L;7
SNAPIN;1716
SLC27A3;1110
S100A7;4
UBAP2L;11427
SLC39A1;164
HAX1;3251
CREB3L4;906
EFNA3;84
AQP10;1
KCNN3;197
C1orf43;10138
GATAD2B;3733
ILF2;9701
RIT1;767
INTS3;6114
PKLR;36
HCN3;181
FLG;49
ACTA1;9
C1orf131;343
GALNT2;3533
TTC13;476
SCCPDH;1499
LYST;288
MAP3K21;569
CEP170;554
ACP1;3470
SNAP47;1643
SRP9;5306
NVL;714
SDE2;821
DEGS1;1685
FBXO28;1044
ARF1;19588
LEFTY2;2
CNIH4;1011
ITPKB;3115
GUK1;6830
CDC42BPA;2236
CNIH3;153
C1orf35;544
MBOAT2;1828
PARP1;4525
PSEN2;18
PYCR2;593
LBR;721
WNT9A;220
EPHX1;6397
REN;13
SOX13;1738
ETNK2;450
PPFIA4;125
PLEKHA6;868
PTPN7;198
SYT2;9
ARL8A;2876
OSR1;17
GDF7;8
PDIA6;9378
RHOB;2529
ATP6V1C2;4834
HNRNPLL;1915
GALM;884
CAMKMT;170
ABCG8;34
EML4;2998
CALM2;17964
CHAC2;169
RPS27A;32357
WDPCP;324
VPS54;847
REG3G;14
ASXL2;1268
ETAA1;682
SNRPG;1598
ABHD1;170
MEIS1;6974
TRIM43B;0
TRIM43;1
CIAO1;3298
ZNF514;454
SNRNP200;12076
MRPS5;2719
ANKRD53;39
TPRKB;860
NAT8;3
EXOC6B;516
SFXN5;846
TEX261;5347
DQX1;9
DUSP11;934
ST6GAL2;443
NPHP1;248
MALL;100
THNSL2;804
RALB;3230
C1QL2;137
TMEM177;321
NT5DC4;68
RABL2A;384
SLC20A1;1359
FBLN7;334
SNRPA1P1;10
ZC3H8;377
LIPT1;209
TRIM43CP;0
CNGA3;1
FAHD2B;252
LYG1;29
AFF3;323
UBXN4;5710
NXPH2;2
SPOPL;765
THSD7B;22
GPR17;5
POLR2D;1547
AMMECR1L;1349
GALNT13;49
PKP4;4409
SCN1A;1
SLC4A10;3
SCRN3;296
LNPK;1019
ZNF385B;34
TMEFF2;2
CDCA7;278
DLX1;5
UBR3;585
PHOSPHO2;37
GULP1;210
FAM171B;312
HSPD1;7692
CCDC150;29
METTL21A;320
UNC80;16
PTH2R;229
CPO;7
NBEAL1;63
KANSL1L;318
SPAG16;773
ABCA12;14
SUMF1;1898
NYAP2;6
RHBDD1;1283
ACKR3;955
TRPM8;68
HES6;593
ESPNL;147
ANKMY1;946
COPS7B;2075
DIS3L2;1099
CPNE9;3
FANCD2;1212
TAMM41;407
VGLL4;8859
RAB5A;2848
RETREG2;7603
CTDSP1;7404
CNOT9;2096
MARCHF4;13
STK11IP;1079
GMPPA;1422
GRIP2;74
EAF1;1343
CNTN4;174
DYNC1LI1;1574
RBMS3;156
GADL1;3
OSBPL10;2111
POMGNT2;1148
ACKR2;101
GASK1A;109
CSRNP1;1196
SLC25A38;4918
ITGA9;1391
SLC22A14;7
GOLGA4;2167
CTDSPL;3733
STAC;248
IQSEC1;2561
CAND2;659
RPL32;55207
PTPRG;2101
IL17RD;784
SHQ1;969
SLC25A26;2710
UBA3;1961
ARL6IP5;4730
TMF1;1542
LRIG1;7157
LRTM1;0
AC073896.1;0
LIMD1;1836
ZNF660;125
NFKBIZ;336
COL8A1;4634
NXPE3;351
ADGRG7;0
MYH15;8
PHLDB2;633
ABHD10;895
TAGLN3;0
PLA1A;8
RABL3;1516
ADPRH;486
IGSF11;101
ATG3;2200
NR1I2;21
BOC;1212
SRPRB;1956
TMEM108;202
AGTR1;39
MED12L;112
EIF2A;3996
ALDH1L1;5
OSBPL11;1031
TRPC1;194
NCEH1;825
SPATA16;0
FAM86B2;7
LPP;4477
TMEM44;642
RUBCN;1453
AMT;9
TCTA;2523
NICN1;0
UCN2;2
DCAF1;3172
MANF;1772
AC062028.1;11
CCDC39;0
STXBP5L;2
EAF2;46
ILDR1;631
TM4SF19;7
MUC4;79
SLIT2;815
EIF2B5;1825
AHSG;5
ECE2;0
VWA5B2;70
DGKQ;661
FIP1L1;903
SLC26A1;294
LYAR;991
CENPC;306
EPHA5;0
CORIN;116
ATP10D;327
OCIAD2;2839
SLC10A4;6
SLC10A6;2
SCD5;2674
PLAC8;17
ENOPH1;1246
CABS1;0
GC;0
TRMT10A;265
KLHL8;373
SNCA;117
PYURF;0
TBCK;1040
CAMK2D;421
CISD2;1086
DDIT4L;157
ANK2;265
TIFA;411
SPATA5;211
FABP2;0
CCNA2;1411
METTL14;491
USP53;5937
SETD7;1041
NAF1;364
MARCHF1;344
SFRP2;10646
RPS3A;36405
RNF175;24
PDGFC;1190
CBR4;626
GLRA3;0
CYP4V2;321
ROPN1L;52
NDUFS6;2916
MARCHF6;3637
NKD2;476
CDH18;2
ADAMTS16;106
SRD5A1;1476
MYO10;5741
OTULINL;415
RPL37;32418
SKP2;998
OSMR;2883
UGT3A1;1
PLK2;1837
SHISAL2B;11
GZMA;65
PIK3R1;810
HAPLN1;102
LHFPL2;1196
SSBP2;581
BHMT;1
ANKRD31;10
IQGAP2;314
CRHBP;6
RASA1;782
LIX1;886
GIN1;129
PPIP5K2;711
PAM;2754
BDP1;641
GTF2H2;34
SLC30A5;1122
BTF3;14667
FBXL17;534
SPATA9;38
TSLP;1
TNFAIP8;280
FEM1C;891
COMMD10;537
ATG12;730
MEGF10;227
ADAMTS19;2
YIPF5;2123
ARHGAP26;1230
CXCL14;604
LECT2;0
SLC25A48;49
DDX46;2339
CDKN2AIPNLP2;0
IL9;0
TIMD4;2
RNF145;1246
C1QTNF2;24
GABRA6;0
GABRB2;51
FBXO38;1410
SPINK7;0
PCYOX1L;1026
GLRA1;1
TNIP1;8352
G3BP1;12138
ZNF300;563
N4BP3;583
NHP2;3311
RMND5B;2524
BOD1;1156
CPLX2;51
TENM2;19
KCNMB1;83
FAM50B;923
MYLK4;38
FAM217A;2
TBC1D7;1297
FARS2;708
GFOD1;1316
CDKAL1;604
PCDHB18P;13
PSD2;24
LRRTM2;4
ZMAT2;2960
GFRA3;44
KLHL3;163
DCDC2;1206
SLC17A4;4
H2BC1;0
KAAG1;165
TRIM7;29
TRIM41;865
HIGD2A;4516
FAM193B;619
PLA2G7;65
TNFRSF21;2996
RNF44;3245
MMUT;979
RASGEF1C;32
DOK3;339
ABT1;1053
PPP1R18;2322
DAAM2;1724
PRIM2;773
MLIP;27
HMGCLL1;91
LGSN;2
FGD2;189
SCUBE3;63
ANO7;208
CRIP3;12
TTBK1;46
TCTE1;5
RPL7L1;3346
NFKBIE;743
CYP39A1;92
TPBG;813
IRAK1BP1;763
PHIP;2732
PRSS35;5
MMS22L;421
FAXC;95
GABRR1;2
PNRC1;5767
PM20D2;2050
RARS2;1608
SCML4;10
TBC1D32;80
CLVS2;0
GPR6;0
RNF217;309
RSPO3;117
ARHGAP18;751
TAAR2;0
TAAR6;0
TAAR8;0
ABRACL;650
TAAR1;0
SLC18B1;771
MTFR2;155
SLC2A12;310
SHPRH;380
AIG1;1320
DYNLT1;1699
TIAM2;508
TMEM181;1296
PNLDC1;2
WTAP;1715
ZMYM4;2550
VIP;4
ARMT1;341
SLC22A3;101
LINC01558;118
VWDE;2
GNA12;1672
C7orf50;1446
SDK1;650
WASH2P;168
CCZ1B;398
C7orf26;1001
RBAK;361
CREB5;296
FERD3L;0
EGFR;1275
LINC00525;0
CDCA5;1757
IGFBP3;5304
PURB;2651
AC004453.1;422
IGFBP1;3
SSC4D;177
MDH2;15588
POMZP3;446
AC211486.1;5
NIPSNAP2;3931
CCT6A;7481
PSPH;732
TRIM50;37
ZNF92;434
ATXN7L1;323
TMEM168;711
ASB15;0
MAP11;815
SLC12A9;2196
GIGYF1;2922
TRIM4;1376
MEPCE;4100
ZAN;1
TMEM209;1560
AGBL3;59
STRA8;29
ZC3HAV1L;377
TMEM140;1119
TLK2;999
EPHA1;5176
NOM1;1595
CNPY1;0
NCAPG2;2284
ASB10;1
NLGN4X;75
SHROOM2;735
RAB19;149
LUC7L2;1452
DENND2A;428
CLTRN;48
SH3KBP1;2098
TMEM47;578
LANCL3;26
SYTL5;10
CASK;1413
KDM6A;769
SPIN2A;5
MSN;22252
AKAP4;0
CCNB3;8
HDAC8;254
SLC16A2;888
DIPK2B;419
ZNF157;9
ZNF182;237
CHST7;78
KRBOX4;407
NDUFB11;4298
ZNF41;596
RAB41;26
ZMYM3;3992
TAF1;1455
GPR174;25
NONO;19823
CCDC120;1430
LPAR4;33
EBP;748
AWAT2;0
OGT;4069
SNX12;2536
ITGB1BP2;11
IL2RG;111
GCNA;26
ZNF711;252
CPXCR1;0
DIAPH2;608
NXF3;19
RIPPLY1;0
PRPS1;939
RADX;5
FRMPD3;21
HTR2C;0
DOCK11;296
IGSF1;83
ARHGAP36;1
GPC3;109
GPR119;0
RBMX;8610
MCPH1;797
MFHAS1;1863
FBXO25;2027
FATE1;2
MAGEA4;51
NSDHL;1309
ZNF185;3004
CETN2;2559
RPL10;58390
CSGALNACT1;156
ATP6V1B2;2364
CCDC25;990
HMBOX1;245
CHRNB3;0
CHRNA6;26
GNRH1;15
BIN3;567
DOK2;142
SLC25A37;544
CHMP7;1008
DOCK5;394
STAR;7
PLPBP;967
ERLIN2;1285
SNTG1;0
PXDNL;72
ST18;13
RGS20;6
TACC1;1337
GOLGA7;3557
PLPP5;507
GINS4;432
NSD3;1250
DNAJC5B;20
CRH;0
TRIM55;1
ADHFE1;8
MRPS28;114
PMP2;0
LACTB2;669
PRDM14;0
TERF1;748
RPL7;34680
SLC26A7;54
PSKH2;1
ATP6V0D2;6
SYBU;976
DPYS;4
MTDH;9011
LRP12;870
EBAG9;2527
RSPO2;3
POLR2K;4017
MAL2;28320
EIF3H;29363
UTP23;2904
NDUFB9;32270
TATDN1;15431
FAM83A;533
GSDMC;135
FAM135B;45
TTTY7;0
TTTY7B;0
ZNF7;2045
ARHGAP39;2785
SLC39A4;3730
NAPRT;896
VLDLR;564
AK3;1909
UHRF2;819
NFIB;1568
CER1;0
PLIN2;998
IFNA5;0
HAUS6;501
CDKN2B;92
IFNA16;0
CDKN2A;33
C9orf72;88
IFNK;0
ZCCHC7;631
FBXO10;104
SIGMAR1;2438
CBWD5;171
CEP78;1078
NTRK2;179
IDNK;225
SHC3;102
AUH;815
MFSD14B;3870
AOPEP;3749
PLPPR1;4
OR13C4;0
ZNF462;1845
INIP;1606
UGCG;2728
ACTL7B;1
SNX30;1729
STOM;2917
GSN;27485
MRRF;1843
NR6A1;212
CRB2;5530
OR5C1;0
ALAD;1816
ASTN2;435
WDR31;383
POLE3;5825
SURF4;18987
GBGT1;291
SURF1;2463
SURF2;1314
SURF6;1746
MED22;2391
REXO4;1663
RPL7A;86319
GTF3C5;3703
ASB6;3814
PTGES2;3658
NTMT1;1872
CIZ1;9012
SLC25A25;1390
SH3GLB2;5334
MIGA2;1286
PTGES;1398
LCN2;8407
LRSAM1;1630
HMCN2;75
GPR107;7231
PAXX;1542
IDI2;142
INPP5E;1174
LCN9;0
SEC16A;9642
DPH7;1442
NOTCH1;3044
CACNA1B;1964
NACC2;1540
PROSER2;874
USP6NL;1206
COMMD3;329
MSRB2;858
PDSS1;273
FAM171A1;1500
MINDY3;570
SLC39A12;0
TMEM236;2
RSU1;2757
ST8SIA6;106
PARD3;3717
ANKRD30A;0
ZEB1;481
FAM13C;114
NRBF2;825
A1CF;0
CDHR1;1650
LRIT1;0
RGR;3
POLR3A;1423
HERC4;1375
LRMDA;1529
CAMK2G;1739
ADIRF;3786
GLUD1;5799
ANKRD1;4
HTR7;44
RPP30;1428
FRA10AC1;639
ADD3;2659
HABP2;4
VAX1;2
DNAJB12;2404
EIF4EBP2;9197
NPFFR1;161
PLEKHS1;69
TCF7L2;1460
MKI67;7611
CYP17A1;55
INA;377
FUOM;380
LRRC27;318
MTG1;277
NKX6-2;89
PAOX;49
GSTO1;2407
TAF5;935
PPRC1;3850
ITPRIP;1491
CNNM2;2381
PDCD11;2913
ADAM12;2924
RGS10;2403
BTBD10;981
ADM;571
GAS2;122
SLC5A12;0
LIN7C;1578
LRRC4C;46
IMMP1L;409
SAA4;0
PGAP2;862
TUT1;428
SCGB1A1;11
SYT8;9
ZNF214;163
ZNF215;66
HSD17B12;2070
APIP;923
PAMR1;165
DGKZ;3663
EIF3M;8523
TNKS1BP1;6761
GLYAT;0
SERPING1;13321
OR5F1;0
SSRP1;7023
SLC43A1;193
PTPRJ;945
C11orf49;2122
ARFGAP2;2964
CELF1;5148
HIKESHI;777
CCDC81;7
SESN3;458
ENDOD1;837
CCDC82;440
KLHL35;295
TENM4;1914
SERPINH1;14823
CAPN5;2198
INTS4;850
PAK1;1712
RPS3;100069
ZC3H12C;336
TTC12;183
NCAM1;833
DRD2;12
C11orf52;4
HTR3B;1
NPAT;555
ATM;767
AASDHPPT;973
GLB1L2;1158
SLX4IP;427
LAMTOR1;5549
P4HA3;285
GRIK4;12
ST14;6952
HYOU1;4941
GGTLC1;0
SCP2D1-AS1;0
ADAM33;339
SLC22A8;2
KAT14;1189
TKFC;2737
MTA2;3829
TMEM138;1228
FADS1;2787
TMC2;4
ROM1;243
EML3;1967
INCENP;1677
ZP1;1
OOSP2;0
MS4A3;0
PLCH2;15
FRG1BP;341
CPSF7;4583
MS4A2;6
B3GAT3;2151
EI24;3361
CCDC15;75
CHEK1;470
FEZ1;198
ESAM;1024
KIRREL3;11
MPZL2;1286
SCN2B;103
SIDT2;1547
TMEM25;617
TAGLN;9671
JPH2;379
DUSP15;112
COMMD7;2138
C20orf144;43
KIAA1755;51
SPATA25;58
OCSTAMP;0
DSN1;840
SOGA1;11606
CNBD2;119
SPINT4;0
CDH22;43
LINC00266-1;3
LSM14B;2168
YTHDF1;3545
CABLES2;789
LTO1;1392
GPHA2;4
SLC22A9;3
TRPT1;1658
NUDT22;1915
FERMT3;791
PLCB3;1262
MRPL49;2795
CDC42EP2;0
FAU;10156
TM7SF2;1209
VPS51;5445
TBX6;29
PPP4C;3540
ALDOA;3494
TLCD3B;25
DOC2A;185
HIRIP3;405
TAOK2;1417
TMEM219;2330
HMGA2;210
MMP3;7
CNKSR2;216
CNTN5;1
KLRF1;38
CLEC1A;48
MKX;110
MPP7;2129
ITGB1;9569
FRMPD2B;0
FXYD4;40
TRIM48;0
OR8K1;0
OR5M9;0
PCDH15;5
PPIAP26;1
CTF1;357
CWC15;1111
FCGR1A;230
ARID5B;4017
KLHL1;1
CDH8;16
DCUN1D2;1053
TMCO3;2383
TMEM218;428
TIRAP;192
EEF1AKMT1;458
LATS2;1074
SAP18;5801
ADGRL3;64
KIAA1328;325
FAM124A;442
MIA2;805
HNMT;586
LYPD1;5153
LYPD6B;1121
PDCD4;2943
ADRA2A;406
GPM6A;30
WDR17;22
SPATA4;17
VEGFC;191
CCDC102B;128
CD226;28
CNDP1;3
FSIP1;1020
DLG2;29
CCDC83;2
RGS18;45
PRSS23;5943
MTMR12;1433
PPP1R1C;1
AL136372.1;0
C11orf53;0
CCT5;10291
ATPSCKMT;345
DOCK1;1838
DIXDC1;295
DLAT;1616
PIH1D2;297
NKAPD1;990
TIMM8B;1280
IL18;513
TEX12;0
PTS;544
PIP4K2A;892
C2orf50;130
FREM2;19
FOXO1;1250
CRIM1;3963
SEC24D;1471
ABCB9;2317
RILPL2;476
DHX37;1686
UBC;36896
ITPR1;593
TKTL2;0
PRSS53;12
SLC7A11;628
NOCT;116
ENKUR;22
GPR158;9
LYZL2;0
CACNA2D4;163
DCP1B;1084
CACNA1C;253
KCNA6;23
THRB;317
NGLY1;914
OXSM;629
UEVLD;987
TMEM86A;408
C12orf45;553
TMEM263;1649
BTBD11;332
UBE3B;2125
ANK3;4710
IPMK;509
RAD9B;200
PLBD2;2983
DLG5;4347
MAT1A;43
SLC2A13;206
GXYLT1;431
TWF1;3099
DIP2C;1131
EIF4E;1023
MAGI1;1331
TEX30;250
CSNK1G3;751
AL136982.1;1
SRFBP1;486
AKAP6;124
NPAS3;1212
FAM177A1;930
MBIP;424
MIPOL1;64
EXT2;2346
TMEM18;1099
ALLC;0
KCTD14;118
THRSP;113
NDUFC2;1677
ME3;489
MSGN1;0
ADAMTS12;2688
NUBPL;400
NEK7;2072
ATP6V1G3;0
FER;321
VIPAS39;1215
ANKRD50;429
UPF2;1488
CDC123;2590
SCLT1;263
CCDC3;3776
C4orf33;148
FRMD4A;766
SLC25A31;0
PTPRO;168
EPS8;755
ACAD8;530
THYN1;1002
VPS26B;2487
NCAPD3;2073
VTI1A;569
QDPR;980
FAM160B1;770
ANO4;7
TEX9;362
QTRT2;1043
DRD3;0
MMAA;248
