symbol;value
CD74;14159
HGF;152
ZRANB1;1360
NCDN;228
ADGRA2;2079
CCT8L1P;0
ZFP64;195
MNAT1;262
SAMD4A;454
RUNX3;38
MRE11;399
PLEKHB1;26
SERPINB1;1182
CYP3A43;0
SLC7A9;4
SPAST;353
NRXN3;24
OSBPL5;656
AQR;709
CPS1;262
C8B;0
FHL1;8918
RTF2;1690
GABRA1;0
NLRP2;2
SLC45A4;306
RNF10;2905
ZNF839;307
ZDHHC6;538
GRAMD1B;27
RNH1;2790
NDUFS1;3057
RB1CC1;1558
ERP44;1202
ALAS1;660
BIRC3;160
AKAP11;1468
GLRX2;552
SNAPC1;106
DERA;474
STRAP;2350
ABCC2;24
DEF6;43
PLEKHO1;346
GCLM;286
UBR2;1258
EHD2;10417
DEPDC1;1
CCDC28A;575
RRAGD;1581
HSF2;253
PHF20;834
HSD17B6;12
NR1H3;2099
TYMP;182
NCAPH2;863
TOMM34;208
SEC63;2084
KPNA6;1108
VIM;128394
RTEL1-TNFRSF6B;15
FAS;211
RNASET2;116
CD44;1947
KCNG1;3
AGPAT4;136
SLAMF7;21
BTN3A1;402
MIPEP;239
PRKCH;547
INSRR;26
IFNGR1;3821
B4GALT7;425
SH2D2A;6
VRK2;495
TNFRSF1B;1446
VEZT;999
POU2F2;38
BRD9;610
SNX1;3593
TBPL1;221
ARNTL2;318
BCLAF1;1939
SLC39A9;1389
ANK1;54
IBSP;0
TFB1M;132
RABEP1;1613
HMGB3;256
NUP160;834
BAK1;115
MUSK;1
IKZF2;95
GRN;3065
FAM13B;513
ARHGAP31;1628
CENPQ;85
SARS1;2804
RANBP3;830
ARID4A;732
EIPR1;159
PNPLA6;670
IFT88;196
ALG1;306
ZCCHC8;413
ABCF2;164
CHPF2;357
LRRC7;7
FUT8;585
UBA6;460
GAB2;2729
ATP6V0A1;1154
PIAS1;708
SLC4A7;198
APBA2;16
MAP2K3;449
EFCAB1;2
TMSB10;10075
ASTE1;214
RNF19A;947
PEX3;191
GABARAPL2;1373
MYOC;1648
SH3YL1;238
FAM136A;403
VCL;3413
DEPDC1B;4
DAPK2;1332
NSMAF;770
ADSS2;485
STAP1;4
TIMP2;8145
RFC1;1537
TBC1D23;978
CUL3;1463
MYOM2;67
OTC;17
CYP46A1;23
ZZZ3;668
SLC18A1;29
USP2;21
CASR;1
TUBG2;306
RPL26L1;217
FLT4;692
NSUN2;788
FBXO42;527
MFAP3;261
MRI1;419
METTL1;107
HOXC8;178
AGA;241
PI4K2B;303
BOD1L1;1277
MAT2B;1413
TLL1;69
EDC4;485
TRIO;2963
VCAN;847
CLEC16A;481
MSR1;144
CDH1;26
MTREX;2714
DNAH5;2
ZFYVE16;669
RIPOR1;1285
C6;4814
RAI14;182
SOX30;17
PNKP;776
BEST2;1
PHLPP2;244
SPDL1;95
STAU2;653
SLC66A1;162
CTNS;522
RTN4R;6
PHF23;445
CDH10;1
INPP4A;491
RAB27B;25
PSMA4;1088
MYO16;252
LSG1;513
PARP3;621
TNC;300
THAP3;884
RIPOR3;398
TDP1;147
AIFM2;2485
C2orf83;2
SPATA7;226
MED17;73
RETSAT;12098
CAPG;1019
AP2S1;862
USH2A;8
ZPBP;0
TG;11
ADAM28;8
BARX2;5
DCUN1D1;513
JADE2;1278
ZIC2;1
LCP2;160
TRIT1;218
ADRB1;106
GUCA2B;0
CUL7;794
CTNNA1;6090
PHKA2;1107
CNTLN;230
EPHA3;214
HSPA5;4716
DSG2;2609
GEMIN8;290
OFD1;306
GPM6B;139
MAGEC2;2
PREX2;698
WDR37;385
YTHDC2;387
CTPS2;315
ATP6V1H;733
POLR2B;2347
FAM214A;1429
ARAP2;79
TPR;2325
CP;185
KATNIP;207
DTNBP1;270
XK;9
ANO2;103
C12orf4;167
SCML1;811
WWC3;704
ARHGAP6;188
FAM184B;183
MAP4;6503
GOPC;687
ROS1;1
USP28;256
HDAC9;605
TSPAN17;282
NOP16;985
CC2D2A;324
RRM2B;514
ZNF800;320
TNFRSF17;0
SNX29;1136
LMO3;2046
MRPS10;741
GUCA1A;0
RSF1;945
VPS13D;1453
CELF2;3144
FAM120A;3439
R3HDM1;442
COL9A2;18
KITLG;709
ERCC8;248
ADAMTS6;34
H6PD;5236
VAMP3;3804
PER3;935
UTS2;137
TNFRSF9;0
EPN3;5
LTBP1;624
RCN1;728
ELN;2009
RFC2;309
ARID1B;1732
CLPTM1L;1230
NEDD4L;1074
FOXP3;17
PPP1R3F;85
HEXB;1550
PTCD2;325
NEXMIF;35
JKAMP;607
3,00 DKK;869
ARHGEF5;123
NFE2L3;71
MCUR1;500
LIMA1;3703
LETMD1;2195
SLC4A8;13
LAMC3;6
PTGER3;4814
TNIP3;0
MAPK9;743
COL23A1;13
BCAR1;543
FAM160A2;626
HERPUD1;1655
HOMER3;89
RAD51;12
POLQ;3
PIK3CB;1049
CYBA;433
THOC3;65
HEBP2;12784
MPHOSPH9;228
PLEKHA5;417
PRSS8;4
SIKE1;614
RRP12;203
FNIP2;1868
MSMO1;321
TTC17;1303
ALX4;21
FSTL4;4
FOXN3;4440
METTL24;1
AKR7A2;680
MRTO4;605
NNAT;501
USE1;644
MCF2L2;99
NRIP2;99
LAMA3;554
AP5M1;537
ANAPC4;404
KCNQ1;92
TRAPPC3;890
THRAP3;3946
PHPT1;864
ENTPD2;22
LY75;54
ARID4B;873
OPN3;117
SDCCAG8;582
PTPRN;84
HHAT;65
KIF1B;1452
FOXC1;283
TBC1D22A;546
SYNE2;3600
PLEKHH1;343
ATP9A;3712
SPO11;0
CBLN4;1
CHRDL2;4
FAM168A;1526
RELT;30
GALC;621
NOP58;554
SZRD1;2133
KCNH2;30
CUL1;1619
FAM114A2;412
CYFIP2;146
TAB2;1621
GINM1;1719
EIF2AK2;1082
USP36;910
KMT2C;1813
MCOLN3;119
CCDC85A;144
PUM2;2209
MRPL43;1036
ITIH4;5
ITIH1;2
HPF1;305
ZFR;2010
ZNF280C;69
NPFFR2;0
PHF21B;4
TRAF1;200
RC3H2;921
IL17RB;13
TRAF3IP2;539
GYG2;18438
DCBLD2;689
SERPINB3;0
SOAT1;850
PKP2;1436
MSH4;6
F7;5
GDI2;6162
PRDM1;217
ATG5;601
TMCC3;262
PITHD1;789
MTA3;763
USP13;843
ATP11B;1393
LAMC2;212
CDK14;198
SEC61A1;3144
PPP1R12A;956
RASGRF1;1
CAMK2B;22
CROCC;338
POLR3E;721
ATP2B4;5577
ZC3H11A;0
RIOK2;474
YIPF1;353
NDC1;305
DGKG;31
FLYWCH1;565
UNKL;727
TBXAS1;126
PARP12;285
ALDH18A1;432
TARBP1;217
GATB;592
MXD1;316
CDK17;597
DNAJC25;332
SLC2A3;712
PSD;83
CTDP1;326
YBX3;4801
STYK1;2
WNK1;5854
RPS17P5;0
CCAR1;594
OGFR;965
GNA15;45
CREB3L3;0
PIGV;414
PTPRU;201
SNRNP40;435
RIMBP2;50
COL11A1;6
QSER1;825
MPC1;1438
ACAA1;1616
BCAT1;174
HDAC7;1757
LZTS1;66
PRDM6;23
WNT8A;0
SPAG4;10
NCKAP1;3524
MRPS35;1113
GUCY1B1;273
SFSWAP;782
TNK2;747
MON2;961
CDH3;13
ARSF;2
GPBP1;1663
DGAT2;9847
ZNF112;55
CS;11461
LTK;6
MRPS24;6
ELMO2;710
WAPL;969
VMP1;1065
APPBP2;1277
POLD1;134
SEZ6;11
EIF4B;15773
SLC6A16;46
BICRA;213
SPHK2;564
RPL18;18025
CA11;70
ISOC2;653
U2AF2;1601
EPN1;1749
MED29;983
AHRR;3
GSC2;0
ZNF275;546
MTMR1;381
GPC1;750
ADCK1;95
HAGH;778
RNF4;711
CASP8;315
LIMCH1;3757
INTS13;230
TM7SF3;1081
DLX3;0
SPA17;44
TSPAN32;16
CCN5;1911
DMRT3;210
ST3GAL6;812
ATP2C2;3
NGFR;98
CDON;508
TAF2;420
HIPK2;2043
TNPO3;1185
BORCS8-MEF2B;0
RFXANK;858
TMEM161A;359
LPAR2;32
CTSA;1956
SUGP2;776
SLC12A2;410
SNX24;171
EYA2;112
CNN2;2805
ABCA7;353
SNCAIP;57
DDX20;262
BTBD1;1157
FAR2;217
BCAS1;7
POU1F1;0
CHI3L2;562
SBNO2;931
PMS1;246
HMG20B;953
CALCRL;12645
TAF11;394
ANKS1A;691
AP3D1;2540
ZNF76;437
SLC9A3R2;3692
NTHL1;176
UHRF1BP1;735
GNAI3;1398
IPO5;5324
OAT;1071
WDR3;841
PKN2;1575
WDR18;357
TRAM2;868
NTN1;201
GLP2R;77
MCM10;8
DGKA;152
ERBB3;18
ROPN1;0
ANKRD44;246
KARS1;3725
ADAT1;200
PDIA5;207
TBC1D22B;173
NDUFB4;1544
SPEN;1740
MYLK;1696
ZC3H15;1172
MAP2K4;564
PACC1;51
SNAP91;9
SLK;2025
CYB5R4;330
COL17A1;40
GSTO2;34
SEC61A2;194
PRKCQ;13
TLE2;297
ASB1;511
FAM107B;1347
ME1;1853
TBC1D1;1022
CDK13;895
MTHFD2;378
SLC9A7;50
FOXJ2;755
YBX1;8576
PDE4A;548
PPP2R5A;3366
CTNNA2;7
ELAVL1;1035
TIE1;1460
DIP2B;629
SMARCD1;896
KDM4A;382
NFYC;827
ZMYND12;24
SLC9A3;26
NGEF;9
ASPM;5
CD84;79
ELOVL1;1205
SPI1;117
POLR1H;212
MPPED2;38
CLDN18;2
ZBTB11;439
ATXN3;527
GOLGA5;717
FGFR2;310
LRRC40;284
ISOC1;889
EML1;445
TRMT11;184
THUMPD1;1234
MSANTD3;121
KIF26A;442
ATG2B;762
ARFGEF1;997
ACSM2B;60
ZFAT;147
MTFR1;495
STAG3;76
FECH;593
MYO9A;930
DDX3Y;1
PFKP;290
IDI1;769
SP100;1129
KLF6;7597
PLPP1;2501
NEO1;797
TRAM1;3028
PHKA1;127
TNFRSF1A;2472
CACNB1;40
EVI5;320
STOML1;285
PKM;3251
DHX29;708
DNTTIP2;922
METTL22;348
TP53BP1;956
TRO;380
RRP15;321
RHOA;12114
DHX8;793
PMS2P4;44
PRKCZ;50
ZFY;0
IARS2;3810
SYT1;39
NAV3;220
IDH3G;1240
ROGDI;31
PDZD4;75
ATP2B3;10
ROCK1;1477
CBFB;546
PDK3;247
HYAL2;869
HDAC4;298
RASSF1;582
FGFR3;32
IFI35;348
HEATR6;303
COASY;1034
PLEKHH3;762
MEF2A;1611
OTUD5;1365
TFE3;2890
TBC1D25;405
ACSL4;3660
INPP5A;613
GPKOW;441
GRIPAP1;891
FTSJ1;377
PRR11;32
REEP1;43
ATP11A;440
POLR1A;605
LAPTM4A;7650
TTC7A;405
IP6K2;973
STON1-GTF2A1L;16
SRBD1;404
KIF2A;1516
RASGRP2;302
PSME4;687
IFT80;111
SIRT2;1442
ERLEC1;1005
PPP2R5B;302
PYGM;936
PAGE1;0
PITX1;9
TRPC7;0
MAST4;1962
ADGRF5;3536
SDK2;12
ADAM7;0
NUP133;1033
NUCKS1;5052
VPS35;2384
DNAJA2;1692
BCL3;218
KCNAB2;168
ABCC9;1984
GAL;0
CLEC2D;77
FUNDC1;151
MAOB;3725
RORA;478
DRD4;14
TGFBR3;6790
PLA2G10;2
HES2;0
ATP1B3;1252
NEDD4;380
PIGB;287
MAPK6;374
GNB5;281
RAB27A;261
HDHD5;691
UFD1;653
LRP6;606
GUCY2C;43
SCT;1
PHRF1;954
ELP1;663
NUCB2;485
PFN2;565
PTPN3;685
SPTB;1242
DAPP1;13
FGF10;559
